model-1611664926,1611664926.893,0.56,0.24,0.56,0.56
model-1611664926,1611664935.542,0.45,0.27,0.45,0.45
model-1611664926,1611664943.048,0.61,0.24,0.61,0.61
model-1611664926,1611664950.957,0.58,0.25,0.58,0.58
model-1611664926,1611664958.373,0.61,0.24,0.61,0.61
model-1611664926,1611664965.085,0.52,0.24,0.52,0.52
model-1611664926,1611664972.611,0.59,0.22,0.59,0.59
model-1611664926,1611664979.333,0.62,0.22,0.62,0.62
model-1611664926,1611664986.743,0.69,0.21,0.69,0.69
model-1611664926,1611664993.413,0.64,0.22,0.64,0.64
model-1611664926,1611665000.645,0.61,0.23,0.61,0.61
model-1611664926,1611665006.906,0.59,0.24,0.59,0.59
model-1611664926,1611665015.24,0.56,0.25,0.56,0.56
model-1611664926,1611665022.351,0.72,0.21,0.72,0.72
model-1611664926,1611665029.986,0.75,0.2,0.75,0.75
model-1611664926,1611665030.452,0.64,0.2,0.64,0.64
model-1611664926,1611665039.827,0.56,0.26,0.56,0.56
model-1611664926,1611665047.034,0.61,0.23,0.61,0.61
model-1611664926,1611665054.0,0.56,0.24,0.56,0.56
model-1611664926,1611665061.018,0.47,0.26,0.47,0.47
model-1611664926,1611665069.27,0.62,0.24,0.62,0.62
model-1611664926,1611665076.766,0.61,0.21,0.61,0.61
model-1611664926,1611665085.044,0.72,0.21,0.72,0.72
model-1611664926,1611665092.12,0.75,0.19,0.75,0.75
model-1611664926,1611665098.537,0.62,0.22,0.62,0.62
model-1611664926,1611665105.035,0.62,0.23,0.62,0.62
model-1611664926,1611665111.37,0.55,0.24,0.55,0.55
model-1611664926,1611665117.99,0.56,0.25,0.56,0.56
model-1611664926,1611665124.577,0.72,0.2,0.72,0.72
model-1611664926,1611665131.601,0.69,0.19,0.69,0.69
